0,5033,5043,322,5009,8541,8071,2223,3251,1632,8382,383,8137,0,7412,4971,0,0
1,3845,3835,8556,3869,337,807,6655,5627,7246,496,8495,741,1607,1466,3907,7,358
2,0,0,0,0,0,0,0,0,0,0,0,0,3106,0,0,137,401
3,0,0,0,0,0,0,0,0,0,0,0,0,2628,0,0,311,554
4,0,0,0,0,0,0,0,0,0,0,0,0,1137,0,0,2229,702
5,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,2467,950
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3727,1256
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1481
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3176
ID,HighBP,HighChol,CholCheck,Smoker,Stroke,HeartDiseaseorAttack,PhysActivity,Fruits,Veggies,HvyAlcoholConsump,AnyHealthcare,NoDocbcCost,GenHlth,DiffWalk,Sex,Education,Income
1,1,1,1,1,1,1,0,0,0,0,1,0,5,1,0,3,2
2,0,0,1,0,0,0,1,1,1,0,1,0,2,0,0,4,6
3,1,0,1,0,0,0,1,0,1,0,1,0,4,1,0,5,2
4,0,0,1,1,0,0,1,1,1,0,1,0,2,0,0,6,8
5,0,0,1,0,0,0,1,0,0,0,1,0,3,0,1,6,7
6,0,0,1,1,0,0,0,1,1,0,1,0,4,1,0,5,4
7,0,0,1,0,0,0,1,1,1,0,1,0,2,0,1,6,8
8,0,0,1,0,0,0,1,0,1,0,1,0,3,0,1,6,7
9,0,0,1,0,0,0,1,0,0,0,1,0,2,0,0,6,5
10,1,1,1,0,0,0,0,1,0,0,1,0,5,0,0,6,6
11,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,5,8
12,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,4,6
13,1,1,1,1,0,0,1,1,0,0,1,0,3,0,0,5,2
14,0,1,1,1,0,0,0,0,0,0,1,0,4,1,1,5,2
15,0,1,1,1,0,1,1,1,1,0,1,0,3,0,1,4,6
16,1,1,1,0,0,0,1,0,1,0,1,0,2,0,1,5,8
17,0,0,1,0,0,0,1,0,1,0,1,0,2,0,0,6,8
18,0,1,1,0,0,0,0,1,1,0,1,0,2,0,1,6,8
19,0,1,1,0,0,0,1,0,1,0,1,0,2,0,1,6,8
